ShipmentID,ShipmentDate,OriginRegion,DestinationRegion,CarrierName,ShipmentType,TotalWeightKG,ShipmentCost,DeliveryStatus,EstimatedDeliveryDate
error: undefined method `first' for nil:NilClass,10/18/2025,,,Photolist,error: undefined method `first' for nil:NilClass,24280,796,error: undefined method `first' for nil:NilClass,10/19/2025
error: undefined method `first' for nil:NilClass,10/16/2025,,,Quaxo,error: undefined method `first' for nil:NilClass,4307,27,error: undefined method `first' for nil:NilClass,10/13/2025
error: undefined method `first' for nil:NilClass,10/10/2025,,,Avaveo,error: undefined method `first' for nil:NilClass,12463,522,error: undefined method `first' for nil:NilClass,10/13/2025
error: undefined method `first' for nil:NilClass,10/16/2025,,,Browsebug,error: undefined method `first' for nil:NilClass,29414,1035,error: undefined method `first' for nil:NilClass,10/16/2025
error: undefined method `first' for nil:NilClass,10/18/2025,,,Realbuzz,error: undefined method `first' for nil:NilClass,23093,1195,error: undefined method `first' for nil:NilClass,10/21/2025
error: undefined method `first' for nil:NilClass,10/13/2025,,,Shufflester,error: undefined method `first' for nil:NilClass,14894,3092,error: undefined method `first' for nil:NilClass,10/19/2025
error: undefined method `first' for nil:NilClass,10/19/2025,,,Twitterbridge,error: undefined method `first' for nil:NilClass,27866,1709,error: undefined method `first' for nil:NilClass,10/22/2025
error: undefined method `first' for nil:NilClass,10/11/2025,,Île-de-France,Ntags,error: undefined method `first' for nil:NilClass,13253,696,error: undefined method `first' for nil:NilClass,10/16/2025
error: undefined method `first' for nil:NilClass,10/12/2025,Kaernten,,Jaloo,error: undefined method `first' for nil:NilClass,10427,623,error: undefined method `first' for nil:NilClass,10/14/2025
error: undefined method `first' for nil:NilClass,10/12/2025,Texas,,Twitternation,error: undefined method `first' for nil:NilClass,9571,719,error: undefined method `first' for nil:NilClass,10/21/2025
error: undefined method `first' for nil:NilClass,10/15/2025,,Porto,Yodoo,error: undefined method `first' for nil:NilClass,21984,2063,error: undefined method `first' for nil:NilClass,10/15/2025
error: undefined method `first' for nil:NilClass,10/16/2025,Nordrhein-Westfalen,Viana do Castelo,Trunyx,error: undefined method `first' for nil:NilClass,1174,2957,error: undefined method `first' for nil:NilClass,10/18/2025
error: undefined method `first' for nil:NilClass,10/16/2025,,,Flipstorm,error: undefined method `first' for nil:NilClass,17730,639,error: undefined method `first' for nil:NilClass,10/14/2025
error: undefined method `first' for nil:NilClass,10/17/2025,Limousin,,Voolia,error: undefined method `first' for nil:NilClass,7021,2634,error: undefined method `first' for nil:NilClass,10/19/2025
error: undefined method `first' for nil:NilClass,10/10/2025,,,Youbridge,error: undefined method `first' for nil:NilClass,16770,1695,error: undefined method `first' for nil:NilClass,10/17/2025
error: undefined method `first' for nil:NilClass,10/14/2025,,,Tazz,error: undefined method `first' for nil:NilClass,22648,3028,error: undefined method `first' for nil:NilClass,10/14/2025
error: undefined method `first' for nil:NilClass,10/18/2025,,,Roombo,error: undefined method `first' for nil:NilClass,17775,1205,error: undefined method `first' for nil:NilClass,10/21/2025
error: undefined method `first' for nil:NilClass,10/13/2025,,,Skyndu,error: undefined method `first' for nil:NilClass,23215,1107,error: undefined method `first' for nil:NilClass,10/14/2025
error: undefined method `first' for nil:NilClass,10/16/2025,,Västra Götaland,Wikizz,error: undefined method `first' for nil:NilClass,5587,1372,error: undefined method `first' for nil:NilClass,10/20/2025
